s-sta-id,s-name,s-lat,s-lng,s-id
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,71
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,71
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,71
325,E 19 St & 3 Ave,40.73624527,-73.98473765,71
326,E 11 St & 1 Ave,40.72953837,-73.98426726,71
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,71
328,Watts St & Greenwich St,40.72405549,-74.00965965,71
330,Reade St & Broadway,40.71450451,-74.00562789,71
331,Pike St & Monroe St,40.71173107,-73.99193043,71
332,Cherry St,40.71219906,-73.97948148,71
334,W 20 St & 7 Ave,40.74238787,-73.99726235,71
335,Washington Pl & Broadway,40.72903917,-73.99404649,71
336,Sullivan St & Washington Sq,40.73047747,-73.99906065,71
339,Avenue D & E 12 St,40.72580614,-73.97422494,71
340,Madison St & Clinton St,40.71269042,-73.98776323,71
341,Stanton St & Mangin St,40.71782143,-73.97628939,71
342,Columbia St & Rivington St,40.71739973,-73.98016555,71
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,71
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,71
346,Bank St & Hudson St,40.73652889,-74.00618026,71
349,Rivington St & Ridge St,40.71850211,-73.98329859,71
350,Clinton St & Grand St,40.71559509,-73.9870295,71
351,Front St & Maiden Ln,40.70530954,-74.00612572,71
353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,71
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,71
355,Bayard St & Baxter St,40.71602118,-73.99974372,71
356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,71
357,E 11 St & Broadway,40.73261787,-73.99158043,71
358,Christopher St & Greenwich St,40.73291553,-74.00711384,71
360,William St & Pine St,40.70717936,-74.00887308,71
361,Allen St & Hester St,40.71605866,-73.99190759,71
362,Broadway & W 37 St,40.75172632,-73.98753523,71
363,West Thames St,40.70834698,-74.01713445,71
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,71
365,Fulton St & Grand Ave,40.68223166,-73.9614583,71
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,71
368,Carmine St & 6 Ave,40.73038599,-74.00214988,71
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,71
372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,71
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,71
376,John St & William St,40.70862144,-74.00722156,71
379,W 31 St & 7 Ave,40.749156,-73.9916,71
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,71
382,University Pl & E 14 St,40.73492695,-73.99200509,71
383,Greenwich Ave & Charles St,40.735238,-74.000271,71
385,E 55 St & 2 Ave,40.75797322,-73.96603308,71
386,Centre St & Worth St,40.71494807,-74.00234482,71
387,Centre St & Chambers St,40.71273266,-74.0046073,71
389,Broadway & Berry St,40.71044554,-73.96525063,71
390,Duffield St & Willoughby St,40.69221589,-73.9842844,71
391,Clark St & Henry St,40.69760127,-73.99344559,71
392,Jay St & Tech Pl,40.695065,-73.987167,71
393,E 5 St & Avenue C,40.72299208,-73.97995466,71
394,E 9 St & Avenue C,40.72521311,-73.97768752,71
396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,71
397,Fulton St & Clermont Ave,40.68415748,-73.96922273,71
398,Atlantic Ave & Furman St,40.69165183,-73.9999786,71
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,71
400,Pitt St & Stanton St,40.71926081,-73.98178024,71
401,Allen St & Rivington St,40.72019576,-73.98997825,71
403,E 2 St & 2 Ave,40.72502876,-73.99069656,71
405,Washington St & Gansevoort St,40.739323,-74.008119,71
406,Hicks St & Montague St,40.69512845,-73.99595065,71
408,Market St & Cherry St,40.71076228,-73.99400398,71
410,Suffolk St & Stanton St,40.72066442,-73.98517977,71
411,E 6 St & Avenue D,40.72228087,-73.97668709,71
412,Forsyth St & Canal St,40.7158155,-73.99422366,71
414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,71
415,Pearl St & Hanover Square,40.7047177,-74.00926027,71
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,71
417,Barclay St & Church St,40.71291224,-74.01020234,71
418,Front St & Gold St,40.70224,-73.982578,71
419,Carlton Ave & Park Ave,40.69580705,-73.97355569,71
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,71
421,Clermont Ave & Park Ave,40.69573398,-73.97129668,71
422,W 59 St & 10 Ave,40.770513,-73.988038,71
423,W 54 St & 9 Ave,40.76584941,-73.98690506,71
427,Bus Slip & State St,40.701907,-74.013942,71
432,E 7 St & Avenue A,40.72621788,-73.98379855,71
434,9 Ave & W 18 St,40.74317449,-74.00366443,71
435,W 21 St & 6 Ave,40.74173969,-73.99415556,71
436,Hancock St & Bedford Ave,40.68216564,-73.95399026,71
437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,71
438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,71
439,E 4 St & 2 Ave,40.7262807,-73.98978041,71
440,E 45 St & 3 Ave,40.75255434,-73.97282625,71
441,E 52 St & 2 Ave,40.756014,-73.967416,71
442,W 27 St & 7 Ave,40.746647,-73.993915,71
443,Bedford Ave & S 9 St,40.70853074,-73.96408963,71
445,E 10 St & Avenue A,40.72740794,-73.98142006,71
446,W 24 St & 7 Ave,40.74487634,-73.99529885,71
447,8 Ave & W 52 St,40.76370739,-73.9851615,71
448,W 37 St & 10 Ave,40.75660359,-73.9979009,71
450,W 49 St & 8 Ave,40.76227205,-73.98788205,71
453,W 22 St & 8 Ave,40.74475148,-73.99915362,71
454,E 51 St & 1 Ave,40.75455731,-73.96592976,71
