yob,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05
1973,29668,26453,27189,30739,31485,23857,17287,13990,16422,18769,21873,31023,31691,28692,29154,29592,31690,21882,18276,17840,16667,22509,27726,29995
1974,31968,29070,30596,32489,33077,24486,17572,13851,15905,18061,22219,31137,32059,29865,30674,29623,32059,22623,19132,18358,17076,23538,28188,31631
1975,30681,29134,31394,33159,33964,24728,17980,14432,16489,18462,23758,32845,33961,31763,32239,31865,34598,23640,19479,19368,17863,24520,29594,32699
1976,33522,32067,32769,36189,36717,27052,18513,15265,17724,19759,24577,34400,35490,33266,33447,32833,35216,24276,19785,20184,18822,25200,31547,33928
1977,34305,32546,33909,35831,36918,27655,19417,15605,17835,19918,25418,35118,37467,34877,34216,33235,35146,24382,19993,19836,18499,25226,31325,34843
1978,36282,34559,36693,38828,39219,29219,20176,16652,19225,21613,27890,36783,38896,36001,36990,34238,36259,25246,20402,20647,19407,25945,32646,35381
1979,40056,38260,40498,42172,43496,31690,21879,18637,21164,23182,28810,40400,42708,41117,42021,39186,40931,27757,23041,23284,22251,30264,38244,41522
1980,44061,41936,43941,45125,44970,32525,21805,18467,21016,23490,30549,43535,45985,43833,45820,42466,44304,30545,25213,25400,24099,31695,38997,41924
1981,47833,47353,49046,48949,49040,35247,23609,20133,23431,26626,34020,47998,50183,48248,50270,47785,48459,32626,26206,25732,25050,34289,43331,46639
1982,51305,50374,55028,54305,53307,39146,26493,22133,24964,28399,35687,50322,55962,54064,56832,51504,52103,34998,27739,27392,25847,35257,45603,48832
1983,55892,55695,57362,55765,55663,40543,26662,22169,25882,29724,38305,53057,56571,54235,57406,52628,54933,36765,29932,29190,28297,37612,48623,53156
1984,58846,57907,61079,61662,61660,43052,29282,23916,27304,31412,40572,56338,62188,60879,64245,59370,58801,39718,31562,31168,31023,41820,53969,57294
1985,61919,64065,66995,67613,67712,48488,32892,26133,30214,34774,46717,62824,69304,67836,70449,63270,61395,41409,33444,32071,31761,43924,56147,61446
1986,64175,64185,68590,67383,67151,46685,30698,24962,29796,34669,45534,64244,69587,68594,71648,65052,64170,42475,33046,31725,31344,44395,58278,62380
1987,64070,66059,70079,69461,70199,47796,30993,25462,29148,34646,47095,65871,74250,72618,76279,69116,67822,43974,35186,34356,34021,48113,64209,68763
1988,65233,68620,73723,71615,71791,49139,31705,25817,31400,37188,50064,70778,79507,79946,86468,79954,77049,50715,40104,37623,36914,51929,71032,77307
1989,66012,67094,72234,71342,72894,51147,32843,26774,31464,36803,49743,68564,76639,77805,83091,76221,76181,50141,38542,37266,37293,53341,72730,78592
1990,64011,66319,72047,72463,72802,49658,32833,26741,31557,36414,50188,68984,76279,78500,83306,77878,76908,50517,39900,38604,37551,52939,71880,78188
1991,58326,61502,66239,67522,69230,47214,30597,24616,29739,34261,48099,66585,72128,72572,77753,74518,74078,47263,36661,36107,36282,51699,69102,74387
1992,52660,56387,61447,62286,64622,43304,27674,22930,27158,31233,43958,61979,68270,68196,72997,71489,72019,46204,35491,34229,33719,48847,68753,72917
1993,42474,44633,50018,52271,54112,37074,23687,18780,22810,27006,39113,54277,61628,62355,68141,66024,66919,43060,32664,31228,32364,45718,62557,68371
1994,25991,29566,32205,35840,36913,24354,15094,12270,15472,18195,27623,40315,46934,48482,54283,52790,52724,34029,25080,24239,23963,35758,53205,59224
1995,13739,16749,18067,22344,23948,16551,10079,8328,11334,12854,19286,26681,30714,34463,38375,40503,40670,26043,19483,18336,19359,29010,43055,48943
1996,11735,12493,11395,16215,17357,12322,7012,4931,7700,8187,11312,14774,16043,19235,20801,24714,24504,15655,11887,10119,10902,16972,25385,28341
1997,7563,8250,8882,12976,13119,9223,5738,4114,6147,6346,9028,11038,14062,16187,16029,18639,18074,11738,8973,6693,8875,12458,16378,17839
1998,6067,7307,7455,9742,10482,7941,4700,3101,4785,5066,7352,9320,9753,10693,10611,14966,15075,9711,6752,5038,6764,9241,13455,13902
1999,4066,4504,5300,5200,6537,4573,2909,2164,2699,3130,4743,6776,8271,9121,9373,10873,11502,7569,6041,4301,5314,8578,11870,13300
2000,2448,2378,2899,3064,3137,2137,1536,1180,1432,1828,2731,3585,4864,6273,6035,5948,7169,4751,4014,3389,3035,5458,8393,9720
2001,381,743,616,1089,1314,921,608,613,826,947,1221,1468,2560,3104,2832,2997,3096,2106,1774,1590,1622,3007,5025,5382
2002,0,0,0,0,0,0,0,4,41,81,202,395,587,843,829,817,1385,951,795,621,679,1148,2227,1725
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,82,319,322
1900,192432,228596,224716,207468,195593,89345,39445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,728,642,715,660,1254,1355,840,553,867,974,1270,1726,1520,1307,1208,1244,1054,811,918,934,601,922,901,1013
